פרטי ניירות ערך - מניות,,,,,,,,,,,,,,,,,,,,,,
נכון ל- 19/05/2024,,,,,,,,,,,,,,,,,,,,,,
מס' ני''ע,ISIN,שם (עברית),שם (אנגלית),סימול (עברית),סימול (אנגלית),"סוג ני""ע (עברית)","סוג ני""ע (אנגלית)",ענף על חברה (עברית),ענף על חברה (אנגלית),ענף חברה (עברית),ענף חברה (אנגלית),תת ענף חברה (עברית),תת ענף חברה (אנגלית),נכלל במדדים (עברית),נכלל במדדים (אנגלית),מספר תאגיד,מספר מנפיק,שם חברה מנפיקה (עברית),שם חברה מנפיקה (אנגלית),מקום התאגדות (עברית),מקום התאגדות (אנגלית),Email
373019,IL0003730194,אאורה,AURA,אארה,AURA,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-בנייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Construction ,TA-125 Fossil Free",520038274,373,אאורה,AURA,ישראל,Israel,ariel@auraisrael.co.il
1171818,IL0011718181,אב-גד,AVGAD,אבגד,AVGD,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Construction",514091685,1829,אב-גד,AV-GAD,ישראל,Israel,office@avgad-home.co.il
1100957,IL0011009573,אבגול,AVGOL,אבגל,AVGL,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,"עץ, נייר ודפוס",Wood & Paper,"ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-תעשייה","TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Industrials",510119068,1390,אבגול,AVGOL,ישראל,Israel,inbal.konforty@avgol.com
1105055,IL0011050551,אבוג'ן,EVOGENE,אבגן,EVGN,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,ביוטכנולוגיה,Biotechnology,"מדד ת''א-ביומד ,ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,ת''א טק - עילית ,ת''א-דואליות","TA-Biomed Index ,TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA Tech - Elite ,TA-Dual listing",512838723,1461,אבוג'ן,EVOGENE,ישראל,Israel,ir@evogene.com
444018,IL0004440181,אביב בניה,AVIV,אביב,AVIV,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Construction",520039264,444,אביב בניה,AVIV,ישראל,Israel,yedid@maviv.co.il
1101666,IL0011016669,אברא,ABRA,אברא,ABRA,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית ,ת''א-רימון","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite ,TA-Rimon",512512468,1397,אברא,ABRA,ישראל,Israel,noam@abra-it.com
675017,IL0006750173,אברבוך,AVERBUCH,אברבך,AVER,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",520041013,675,אברבוך,AVERBUCH,ישראל,Israel,zvi@averbuch.co.il
297010,IL0002970106,אברות,AVROT,אברות,AVRT,מניה רגילה,Ordinary Share,ריאלי,Real,תעשיה,Industry,מתכת ומוצרי בניה,Metal & Building Products,,,520037383,297,אברות,AVROT,ישראל,Israel,gilad@avrot.co.il
1820083,IL0018200837,אדגר,ADGAR INV.,אדגר,ADGR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"ת''א-SME60 ,ת''א-נדל''ן ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-מניב חו''ל","TA-SME60 ,TA-RealEstate ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Investment Properties Abroad",520035171,182,אדגר השקעות,ADGAR INV.,ישראל,Israel,liat@adgar.com
1141571,IL0011415713,או פי סי אנרגיה,OPC ENERGY,אפסא,OPCE,מניה רגילה,Ordinary Share,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"ת''א-35 ,ת''א-125 ,מדד ת''א-מעלה ,ת''א All-Share ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-תשתיות אנרגיה","TA-35 ,TA-125 ,TA-Maala Index ,TA-AllShare ,TA-Rimon ,TA Sector-Balance ,TA-Energy Utilities",514401702,1682,או.פי.סי אנרגיה,OPC ENERGY,ישראל,Israel,shiran.kislasi@opc-energy.com
1086230,IL0010862303,או.אר.טי,O.R.T.,ארטכ,ORTC,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,השקעות בהייטק,Investments In High-Tech,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index",513057588,1135,או.אר.טי.,O.R.T,ישראל,Israel,lbensimon@ortechno.com
1139617,IL0011396178,אוברסיז,OVERSEAS,אובר,OVRS,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",510490071,1671,אוברסיז,OVERSEAS,ישראל,Israel,ovrs@ovrs-comr.co.il
1105907,IL0011059073,אוגווינד,AUGWIND,אוגנ,AUGN,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,קלינטק,Cleantech,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א-תשתיות אנרגיה ,ת''א-קלינטק","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Energy Utilities ,TA-Cleantech",513961334,1473,אוגווינד,AUGWIND,ישראל,Israel,info@aug-wind.com
1082965,IL0010829658,אודיוקודס,AUDIOCODES,אודק,AUDC,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,ציוד תקשורת,Communications Equipment,"ת''א-90 ,ת''א-125 ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-תעשייה ,ת''א-125 אקלים נקי ,ת''א-דואליות","TA-90 ,TA-125 ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-Industrials ,TA-125 Fossil Free ,TA-Dual listing",520044132,2134,אודיוקודס,AUDIOCODES,ישראל,Israel,notices@audiocodes.com
1131697,IL0011316978,אוטומקס,AUTOMAX,אמקס,AMX,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,,,513795427,2280,אוטומקס מוטורס,AUTOMAX MOTORS,ישראל,Israel,tomer@automax.co.il
1101450,IL0011014508,אולמד סולושנס,ALLMED SOLUTION,אלמד,ALMD,מניה רגילה,Ordinary Share,הייטק,High-Tech,ביומד,Biomed,מכשור רפואי,Medical Devices,,,513488833,1393,אולמד סולושנס,ALLMED SOLUTION,ישראל,Israel,info@almd-solutions.com
